category,slot_concept,type,IT,IT_grade,EN (US/UK),EN_grade,DE,DE_grade,notes
16. Energy & environment policy,high energy costs,generic,caro energia,2,high energy costs,2,hohe energiekosten,2,
16. Energy & environment policy,soaring utility bills,generic,caro bollette,2,soaring bills,2,hohe stromrechnungen,2,
16. Energy & environment policy,price cap,generic,price cap,2,price cap,2,preisdeckel,2,
16. Energy & environment policy,gas price cap,generic,tetto al prezzo del gas,3,gas price cap,3,gaspreisdeckel,3,
16. Energy & environment policy,gas pipeline,generic,gasdotto,2,gas pipeline,2,gaspipeline,2,
16. Energy & environment policy,renewables,generic,rinnovabili,2,renewable,2,erneuerbare,2,
16. Energy & environment policy,decarbonisation,generic,decarbonizzazione,2,decarbonisation,2,dekarbonisierung,2,
16. Energy & environment policy,Green Deal,generic,green deal,3,green deal,3,green deal,3,EN list: 'green new deal'
16. Energy & environment policy,Fit for 55 (EU),generic,fit for 55,3,fit for 55,3,fit for 55,3,
16. Energy & environment policy,climate emergency,generic,emergenza climatica,2,climate emergency,2,klimanotstand,2,
16. Energy & environment policy,climate crisis,generic,crisi climatica,2,climate crisis,2,klimakrise,2,
16. Energy & environment policy,climate change,generic,cambiamento climatico,2,climate change,2,klimawandel,2,
16. Energy & environment policy,climate justice,generic,giustizia climatica,3,climate justice,3,klimagerechtigkeit,3,
16. Energy & environment policy,climate alarmism (pejorative),generic,allarmismo climatico,3,climate alarmism,3,klimaalarmismus,3,
16. Energy & environment policy,climate denialism,generic,negazionismo climatico,3,climate denialism,3,klimaleugnung,3,
16. Energy & environment policy,'green ideology' (pejorative),generic,ideologia green,3,green ideology,3,grüne ideologie,3,
16. Energy & environment policy,'eco-vandals' (slur),generic,eco-vandali,3,eco-vandals,3,klima-chaoten,3,
16. Energy & environment policy,climate activists,generic,attivisti climatici,2,climate activists,2,klimaaktivisten,2,
16. Energy & environment policy,Fridays for Future,generic,fridays for future,3,fridays for future,3,fridays for future,3,
16. Energy & environment policy,Last Generation (activist group),generic,ultima generazione,3,last generation,2,letzte generation,3,literal sense also exists -> some FP
16. Energy & environment policy,'war on cars' (slogan),generic,guerra all'automobile,3,war on cars,3,krieg gegen das auto,3,
16. Energy & environment policy,deindustrialisation,generic,deindustrializzazione,2,deindustrialisation,2,deindustrialisierung,2,
16. Energy & environment policy,environmental emergency,generic,emergenza ambientale,2,environmental emergency,2,umweltnotstand,2,
16. Energy & environment policy,environmental protection,generic,tutela dell'ambiente,1,environmental protection,1,umweltschutz,1,broad term -> FP
"17. Civil rights, family & bioethics",civil rights,generic,diritti civili,2,civil rights,2,bürgerrechte,2,
"17. Civil rights, family & bioethics",human rights,generic,diritti umani,2,human rights,2,menschenrechte,2,
"17. Civil rights, family & bioethics",LGBT rights,generic,diritti lgbt,2,lgbt rights,2,lgbt-rechte,2,
"17. Civil rights, family & bioethics",civil unions,generic,unioni civili,3,civil unions,3,eingetragene partnerschaft,3,
"17. Civil rights, family & bioethics",marriage equality,generic,matrimonio egualitario,3,marriage equality,3,ehe für alle,3,
"17. Civil rights, family & bioethics",gay adoption,generic,adozioni gay,3,gay adoption,3,adoption durch homosexuelle,3,
"17. Civil rights, family & bioethics",stepchild adoption,generic,step-child adoption,3,stepchild adoption,3,stiefkindadoption,3,
"17. Civil rights, family & bioethics",surrogacy,generic,gestazione per altri,3,surrogacy,3,leihmutterschaft,3,
"17. Civil rights, family & bioethics",'rented womb' surrogacy (charged),generic,utero in affitto,3,rented womb,3,leihmutterschaft,3,
"17. Civil rights, family & bioethics",gender identity,generic,identità di genere,2,gender identity,2,geschlechtsidentität,2,
"17. Civil rights, family & bioethics",'gender ideology' (pejorative),generic,ideologia gender,3,gender ideology,3,genderideologie,3,
"17. Civil rights, family & bioethics",'gender ideology' (variant),generic,ideologia di genere,3,gender ideology,3,genderideologie,3,
"17. Civil rights, family & bioethics",inclusive language,generic,linguaggio inclusivo,2,inclusive language,2,gendergerechte sprache,2,
"17. Civil rights, family & bioethics",sex education,generic,educazione sessuale,2,sex education,2,sexualkunde,2,
"17. Civil rights, family & bioethics",conscientious objection,generic,obiezione di coscienza,2,conscientious objection,2,gewissensverweigerung,2,
"17. Civil rights, family & bioethics",termination of pregnancy,generic,interruzione di gravidanza,2,termination of pregnancy,2,schwangerschaftsabbruch,2,
"17. Civil rights, family & bioethics",abortion,generic,aborto,2,abortion,2,abtreibung,2,
"17. Civil rights, family & bioethics",end-of-life,generic,fine vita,2,end of life,2,sterbehilfe,2,
"17. Civil rights, family & bioethics",euthanasia,generic,eutanasia,2,euthanasia,2,euthanasie,2,
"17. Civil rights, family & bioethics",assisted suicide,generic,suicidio assistito,2,assisted suicide,2,assistierter suizid,2,
"17. Civil rights, family & bioethics",living will,generic,testamento biologico,2,living will,2,patientenverfügung,2,
"17. Civil rights, family & bioethics",assisted reproduction,generic,procreazione assistita,2,assisted reproduction,2,künstliche befruchtung,2,
"17. Civil rights, family & bioethics",assisted fertilisation,generic,fecondazione assistita,2,assisted fertilisation,2,künstliche befruchtung,2,
"17. Civil rights, family & bioethics",'natural family' (conservative),generic,famiglia naturale,3,natural family,3,traditionelle familie,3,
"17. Civil rights, family & bioethics",family policy,generic,politiche familiari,2,family policy,2,familienpolitik,2,
"17. Civil rights, family & bioethics",falling birth rate,generic,denatalità,2,declining birth rate,2,geburtenrückgang,2,
"17. Civil rights, family & bioethics",'demographic winter',generic,inverno demografico,3,demographic winter,3,demografischer winter,3,
"17. Civil rights, family & bioethics",secularism,generic,laicità,2,secularism,2,laizität,2,
"17. Civil rights, family & bioethics",Christian values,generic,valori cristiani,2,christian values,2,christliche werte,2,
18. Health policy & pandemic politics,public healthcare,generic,sanità pubblica,2,healthcare,2,öffentliches gesundheitswesen,2,
18. Health policy & pandemic politics,healthcare reform,generic,riforma della sanità,3,healthcare reform,3,gesundheitsreform,3,
18. Health policy & pandemic politics,waiting lists,generic,liste d'attesa,1,waiting lists,1,wartelisten,1,broad term (any queue) -> FP
18. Health policy & pandemic politics,vaccine mandate,generic,obbligo vaccinale,2,vaccine mandate,2,impfpflicht,2,
18. Health policy & pandemic politics,'health dictatorship' (conspiracy),generic,dittatura sanitaria,3,health dictatorship,3,gesundheitsdiktatur,3,
18. Health policy & pandemic politics,'experimental serum' (anti-vax),generic,siero sperimentale,3,experimental serum,3,experimentelles serum,3,
18. Health policy & pandemic politics,lockdown,generic,lockdown,2,lockdown,2,lockdown,2,
18. Health policy & pandemic politics,anti-vax,generic,no vax,3,anti-vax,3,impfgegner,3,
18. Health policy & pandemic politics,pandemic management,generic,gestione della pandemia,2,pandemic management,2,pandemiemanagement,2,
19. Ideologies & political labels,far right,generic,estrema destra,3,far right,3,extreme rechte,3,
19. Ideologies & political labels,far left,generic,estrema sinistra,3,far left,3,extreme linke,3,
19. Ideologies & political labels,radical right,generic,destra radicale,3,radical right,3,radikale rechte,3,
19. Ideologies & political labels,populism,generic,populismo,2,populism,2,populismus,2,
19. Ideologies & political labels,sovereigntism,generic,sovranismo,3,sovereigntism,3,souveränismus,3,
19. Ideologies & political labels,nationalism,generic,nazionalismo,2,nationalism,2,nationalismus,2,
19. Ideologies & political labels,patriotism,generic,patriottismo,2,patriotism,2,patriotismus,2,
19. Ideologies & political labels,liberalism,generic,liberalismo,2,liberalism,2,liberalismus,2,
19. Ideologies & political labels,economic liberalism (IT term),generic,liberismo,3,economic liberalism,3,wirtschaftsliberalismus,3,
19. Ideologies & political labels,neoliberalism,generic,neoliberismo,2,neoliberalism,2,neoliberalismus,2,
19. Ideologies & political labels,socialism,generic,socialismo,2,socialism,2,sozialismus,2,
19. Ideologies & political labels,communism,generic,comunismo,2,communism,2,kommunismus,2,
19. Ideologies & political labels,fascism,generic,fascismo,2,fascism,2,faschismus,2,
19. Ideologies & political labels,anti-fascism,generic,antifascismo,3,anti-fascism,3,antifaschismus,3,
19. Ideologies & political labels,post-fascism,generic,postfascismo,3,post-fascism,3,postfaschismus,3,
19. Ideologies & political labels,neo-fascism,generic,neofascismo,3,neo-fascism,3,neofaschismus,3,
19. Ideologies & political labels,progressivism,generic,progressismo,2,progressivism,2,progressivismus,2,
19. Ideologies & political labels,conservatism,generic,conservatorismo,2,conservatism,2,konservatismus,2,
19. Ideologies & political labels,environmentalism,generic,ambientalismo,2,environmentalism,2,umweltbewegung,2,
19. Ideologies & political labels,feminism,generic,femminismo,2,feminism,2,feminismus,2,
19. Ideologies & political labels,sovereigntists,generic,sovranisti,3,sovereigntists,3,souveränisten,3,
19. Ideologies & political labels,identitarians (far-right),generic,identitari,3,identitarians,3,identitäre,3,
20. Far-right / far-left & extremism,Roman salute (fascist),generic,saluto romano,3,roman salute,3,hitlergruß,3,DE analog: Hitlergruß
20. Far-right / far-left & extremism,glorification of fascism,generic,apologia di fascismo,3,glorification of fascism,3,verherrlichung des faschismus,3,
20. Far-right / far-left & extremism,fascism nostalgics,generic,nostalgici del fascismo,3,fascism nostalgics,3,faschismus-nostalgiker,3,
20. Far-right / far-left & extremism,historical revisionism,generic,revisionismo storico,3,historical revisionism,3,geschichtsrevisionismus,3,
20. Far-right / far-left & extremism,Resistance (WWII partisan),generic,resistenza,2,resistance,1,widerstand,2,also generic 'resistance' -> FP
20. Far-right / far-left & extremism,partisans,generic,partigiani,2,partisans,2,partisanen,2,
20. Far-right / far-left & extremism,antifa,generic,antifa,3,antifa,3,antifa,3,
20. Far-right / far-left & extremism,fascist squadism,generic,squadrismo,3,squadism,3,squadrismus,3,
20. Far-right / far-left & extremism,extremism,generic,estremismo,2,extremism,2,extremismus,2,
20. Far-right / far-left & extremism,supremacism,generic,suprematismo,3,supremacism,3,suprematismus,3,
20. Far-right / far-left & extremism,ethno-nationalism,generic,etnonazionalismo,3,ethno-nationalism,3,ethnonationalismus,3,
20. Far-right / far-left & extremism,xenophobia,generic,xenofobia,2,xenophobia,2,fremdenfeindlichkeit,2,
20. Far-right / far-left & extremism,racism,generic,razzismo,2,racism,2,rassismus,2,
20. Far-right / far-left & extremism,structural racism,generic,razzismo strutturale,3,structural racism,3,struktureller rassismus,3,
20. Far-right / far-left & extremism,Islamophobia,generic,islamofobia,2,islamophobia,2,islamfeindlichkeit,2,
20. Far-right / far-left & extremism,Islamisation (charged),generic,islamizzazione,3,islamisation,3,islamisierung,3,
20. Far-right / far-left & extremism,patriarchy,generic,patriarcato,2,patriarchy,2,patriarchat,2,
20. Far-right / far-left & extremism,toxic masculinity,generic,mascolinità tossica,2,toxic masculinity,2,toxische männlichkeit,2,
20. Far-right / far-left & extremism,homophobia,generic,omofobia,2,homophobia,2,homophobie,2,
20. Far-right / far-left & extremism,transphobia,generic,transfobia,2,transphobia,2,transphobie,2,
20. Far-right / far-left & extremism,femicide,generic,femminicidio,2,femicide,2,femizid,2,
"21. Slogans, slang & polemics",'the caste' (political-class slur),generic,casta,3,the caste,3,kaste,3,IT 'casta' also generic caste
"21. Slogans, slang & polemics",nomenklatura,generic,nomenklatura,3,nomenklatura,3,nomenklatura,3,
"21. Slogans, slang & polemics",'strong powers' / deep state (IT),generic,poteri forti,3,deep state,3,tiefer staat,3,
"21. Slogans, slang & polemics",elite(s),generic,élite,2,elite,2,elite,2,also non-political 'elite' -> FP
"21. Slogans, slang & polemics",political class,generic,classe politica,2,political class,2,politische klasse,2,
"21. Slogans, slang & polemics",partyocracy,generic,partitocrazia,3,partyocracy,3,parteienherrschaft,3,
"21. Slogans, slang & polemics",anti-politics,generic,antipolitica,3,anti-politics,3,antipolitik,3,
"21. Slogans, slang & polemics",'political theatre' (slur),generic,teatrino,2,political theatre,3,polit-theater,3,IT 'teatrino' also literal small theatre
"21. Slogans, slang & polemics",political jargon (IT),generic,politichese,3,political jargon,3,politiker-sprech,3,
"21. Slogans, slang & polemics",do-gooderism (pejorative IT),generic,buonismo,3,do-gooderism,3,gutmenschentum,3,
"21. Slogans, slang & polemics",'honest citizens' (slogan),generic,cittadini onesti,2,honest citizens,2,ehrliche bürger,2,
"21. Slogans, slang & polemics",'do-nothings' (slur),generic,nullafacenti,2,do-nothings,2,faulenzer,2,
"21. Slogans, slang & polemics",media pillory,generic,gogna mediatica,2,media pillory,2,mediale hetzjagd,2,
"21. Slogans, slang & polemics",conspiracy theorising,generic,complottismo,2,conspiracy theorising,2,verschwörungsdenken,2,
"21. Slogans, slang & polemics",fake news,generic,fake news,2,fake news,2,fake news,2,
"21. Slogans, slang & polemics",disinformation,generic,disinformazione,2,disinformation,2,desinformation,2,
"21. Slogans, slang & polemics",propaganda,generic,propaganda,2,propaganda,2,propaganda,2,
"21. Slogans, slang & polemics",'regime press' (slur),generic,stampa di regime,3,regime press,3,regierungspresse,3,
"21. Slogans, slang & polemics",mainstream media,generic,media mainstream,2,mainstream media,2,mainstream-medien,2,
"21. Slogans, slang & polemics",cancel culture,generic,cancel culture,3,cancel culture,3,cancel culture,3,
"21. Slogans, slang & polemics",politically correct,generic,politicamente corretto,2,politically correct,2,politisch korrekt,2,
22. Protest & participation,demonstration,generic,manifestazione,1,demonstration,2,demonstration,2,IT 'manifestazione' also = event/symptom -> FP
22. Protest & participation,protest march,generic,corteo,1,protest march,3,demonstrationszug,3,IT 'corteo' also = wedding/funeral procession -> FP
22. Protest & participation,standing protest / vigil,generic,presidio,2,sit-in protest,3,mahnwache,3,IT 'presidio' also = medical garrison/outpost
22. Protest & participation,sit-in,generic,sit-in,2,sit-in,2,sitzstreik,2,
22. Protest & participation,civil disobedience,generic,disobbedienza civile,3,civil disobedience,3,ziviler ungehorsam,3,
22. Protest & participation,to take to the streets,generic,scendere in piazza,2,take to the streets,2,auf die straße gehen,2,
22. Protest & participation,mobilisation,generic,mobilitazione,2,mobilisation,2,mobilisierung,2,also general/military -> some FP
22. Protest & participation,protest / contestation,generic,contestazione,2,protest,2,protest,2,IT 'contestazione' also = dispute/objection
22. Protest & participation,protests (pl.),generic,contestazioni,2,protests,2,proteste,2,
23. Politics-as-topic & news / salience,politics / policy,generic,politica,2,politics,2,politik,2,
23. Politics-as-topic & news / salience,political / politician,generic,politico,2,political,2,politisch,2,
23. Politics-as-topic & news / salience,policies / political (f.pl.),generic,politiche,2,policies,2,politiken,2,
23. Politics-as-topic & news / salience,politicians,generic,politici,2,politicians,2,politiker,2,
23. Politics-as-topic & news / salience,journalist,generic,giornalista,1,journalist,1,journalist,1,not exclusively political -> FP
23. Politics-as-topic & news / salience,journalists (pl.),generic,giornalisti,1,journalists,1,journalisten,1,not exclusively political -> FP
23. Politics-as-topic & news / salience,political debate,generic,dibattito politico,2,political debate,2,politische debatte,2,
23. Politics-as-topic & news / salience,TV debate,generic,dibattito televisivo,2,tv debate,2,fernsehdebatte,2,
23. Politics-as-topic & news / salience,public-service broadcasting,generic,servizio pubblico,1,public broadcasting,2,öffentlich-rechtlicher rundfunk,2,IT 'servizio pubblico' also = public service generally
23. Politics-as-topic & news / salience,investigative journalism,generic,inchiesta giornalistica,2,investigative journalism,2,investigativer journalismus,2,
23. Politics-as-topic & news / salience,democracy,generic,democrazia,2,democracy,2,demokratie,2,
23. Politics-as-topic & news / salience,authoritarian,generic,autoritarismo,2,authoritarianism,2,autoritarismus,2,EN/DE list terms
23. Politics-as-topic & news / salience,lobby / lobbying,generic,lobby,2,lobbying,2,lobby,1,"EN list 'lobby','lobbying','lobbyist'"
23. Politics-as-topic & news / salience,diplomacy,generic,diplomazia,2,diplomacy,2,diplomatie,2,EN list term
23. Politics-as-topic & news / salience,tariff / trade war,generic,dazi,2,tariff,2,zölle,2,"EN list 'tariff','trade war'"
16. Energy & environment policy,nuclear power,generic,nucleare,2,nuclear power,2,atomkraft,2,DE list: atomkraft
16. Energy & environment policy,coal phase-out,generic,uscita dal carbone,3,coal phase-out,3,kohleausstieg,3,DE list: kohleausstieg
16. Energy & environment policy,natural gas / fossil fuels,generic,combustibili fossili,2,fossil fuels,2,fossile brennstoffe,2,"EN 'fossil fuel', DE 'erdgas' in lists"
16. Energy & environment policy,net zero / climate neutrality,generic,neutralità climatica,3,net zero,3,klimaneutralität,3,EN list: net zero
19. Ideologies & political labels,left (direction/label),generic,sinistra,1,left wing,1,links,1,bare 'sinistra' dropped from IT v5 (high FP); EN/DE keep it -> asymmetry
19. Ideologies & political labels,right (direction/label),generic,destra,1,right wing,1,rechts,1,bare 'destra' dropped from IT v5 (high FP); EN/DE keep it -> asymmetry
19. Ideologies & political labels,centre / centrist,generic,centro,1,centrist,1,mitte,1,bare 'centro' dropped from IT v5 (high FP)
19. Ideologies & political labels,globalism,generic,globalismo,3,globalism,3,globalismus,3,EN list term
"21. Slogans, slang & polemics",culture war,generic,guerra culturale,3,culture war,3,kulturkampf,3,EN list term
"21. Slogans, slang & polemics",misinformation,generic,misinformazione,2,misinformation,2,fehlinformation,2,EN list term
"21. Slogans, slang & polemics",press freedom,generic,libertà di stampa,2,press freedom,2,pressefreiheit,2,EN list term
"21. Slogans, slang & polemics",whistleblower,generic,informatore,2,whistleblower,2,whistleblower,2,EN list term
"21. Slogans, slang & polemics",media bias,generic,faziosità mediatica,2,media bias,2,medienverzerrung,2,EN list term
23. Politics-as-topic & news / salience,Congress (US legislature),generic,congresso,3,congress,3,kongress,3,EN list; US-specific
23. Politics-as-topic & news / salience,primary election (US),generic,primarie,3,primary election,3,vorwahl,3,EN list; primaries
1. Institutions & branches of government,lower-house seat (metonym),role-aligned,montecitorio,3,capitol / westminster,3,reichstag,3,EN: US Capitol + UK Westminster
1. Institutions & branches of government,upper-house seat (metonym),role-aligned,palazzo madama,3,senate floor / house of lords,3,bundesrat,3,EN: US Senate + UK Lords
1. Institutions & branches of government,head-of-state residence,role-aligned,quirinale,3,white house / buckingham palace,3,schloss bellevue,3,seat of the head of state
1. Institutions & branches of government,head-of-government office,role-aligned,palazzo chigi,3,downing street / white house,3,kanzleramt,3,seat of the head of government
1. Institutions & branches of government,judicial self-governing council,role-aligned,csm,3,judicial conference,3,richterwahlausschuss,3,rough functional analogs
14. EU & European policy,European Commission president,role-aligned,von der leyen,3,von der leyen,3,von der leyen,3,shared EU figure (all arms)
6. Leaders by office (2023),head of government,role-aligned,meloni,3,biden / sunak,3,scholz,3,US President + UK PM
6. Leaders by office (2023),head of state,role-aligned,mattarella,3,king charles,3,steinmeier,3,US head of state = Biden (see head of govt)
6. Leaders by office (2023),deputy / vice head of govt,role-aligned,salvini,3,harris / dowden,3,habeck,3,US VP + UK Deputy PM; DE Vice-Chancellor
6. Leaders by office (2023),finance minister,role-aligned,giorgetti,3,yellen / hunt,3,lindner,3,US Treasury + UK Chancellor
6. Leaders by office (2023),foreign minister,role-aligned,tajani,3,blinken / cleverly,3,baerbock,3,US Sec State + UK Foreign Sec
6. Leaders by office (2023),interior / home minister,role-aligned,piantedosi,3,mayorkas / braverman,3,faeser,3,US DHS + UK Home Sec
6. Leaders by office (2023),defence minister,role-aligned,crosetto,3,austin / wallace,3,pistorius,3,US + UK defence chiefs
6. Leaders by office (2023),justice minister / AG,role-aligned,nordio,3,garland,3,buschmann,3,US Attorney General
6. Leaders by office (2023),agriculture minister,role-aligned,lollobrigida,3,vilsack,3,özdemir,3,US Ag Secretary
6. Leaders by office (2023),main opposition leader,role-aligned,schlein,3,trump / starmer,3,merz,3,US main rival + UK Opp leader
6. Leaders by office (2023),anti-establishment / populist figure,role-aligned,beppe grillo,3,farage,3,weidel,3,UK Reform + DE AfD figure
6. Leaders by office (2023),former leader / elder statesman,role-aligned,draghi,3,obama / johnson,3,merkel,3,former heads of government
5. Parties by ideological family,major centre-left party,role-aligned,partito democratico / pd,3,democrats / labour,2,spd,3,EN words also everyday -> higher FP
5. Parties by ideological family,major centre-right party,role-aligned,forza italia,3,republicans / conservatives,2,cdu / csu,3,EN 'conservative' everyday -> FP
5. Parties by ideological family,radical / populist right party,role-aligned,fratelli d'italia / lega,3,maga / reform uk,3,afd,3,US Trump-wing + UK Reform
5. Parties by ideological family,liberal / centrist party,role-aligned,italia viva / azione,3,liberal democrats,2,fdp,3,
5. Parties by ideological family,green party,role-aligned,avs / europa verde,3,green party,3,grüne,3,
5. Parties by ideological family,left / socialist party,role-aligned,sinistra italiana,3,the squad / momentum,3,linke,3,US/UK left factions
5. Parties by ideological family,populist anti-system party,role-aligned,movimento 5 stelle / m5s,3,tea party,3,bsw,3,loose anti-establishment analogs
